15-Feb-25 19:27:26 - Length of trainig data is  2119719
15-Feb-25 19:27:31 - Vocaab training legth to 2119719
15-Feb-25 19:27:31 - Training Non contextual tokeniser
15-Feb-25 19:27:32 - Training of Vocabulary complete
15-Feb-25 19:27:32 - Sentence: The Cat sat on the Fence
15-Feb-25 19:27:32 - Tokens:  ['The▁', 'C', 'at▁', 'sat▁', 'on▁', 'the▁', 'F', 'en', 'ce▁']
15-Feb-25 19:27:32 - Token IDs: [50, 1972, 53, 1106, 58, 15, 1971, 23, 122]
15-Feb-25 19:27:32 - Token folder already exisitng: ./train_tokens Not overwriting
15-Feb-25 19:27:32 - vocab_size=2000 embedding_dim/d_model=512
15-Feb-25 19:27:33 - Training model...
15-Feb-25 19:27:59 - [Epoch=1 | Batch=1850] loss=5.7634
15-Feb-25 19:27:59 - [Epoch=1 | Batch=1875] loss=5.7840
15-Feb-25 19:27:59 - [Epoch=1 | Batch=1900] loss=5.7883
15-Feb-25 19:28:00 - [Epoch=1 | Batch=1925] loss=5.7219
15-Feb-25 19:28:00 - [Epoch=1 | Batch=1950] loss=5.7634
15-Feb-25 19:28:00 - [Epoch=1 | Batch=1975] loss=5.7691
15-Feb-25 19:28:01 - [Epoch=1 | Batch=2000] loss=5.9117
15-Feb-25 19:28:01 - [Epoch=1 | Batch=2025] loss=5.7656
15-Feb-25 19:28:01 - [Epoch=1 | Batch=2050] loss=5.7158
15-Feb-25 19:28:02 - [Epoch=1 | Batch=2075] loss=5.9159
15-Feb-25 19:28:02 - [Epoch=1 | Batch=2100] loss=6.0091
15-Feb-25 19:28:03 - [Epoch=1 | Batch=2125] loss=5.9350
15-Feb-25 19:28:03 - [Epoch=1 | Batch=2150] loss=5.8563
15-Feb-25 19:28:03 - [Epoch=1 | Batch=2175] loss=5.9540
15-Feb-25 19:28:04 - [Epoch=1 | Batch=2200] loss=5.8804
15-Feb-25 19:28:04 - [Epoch=1 | Batch=2225] loss=5.7401
15-Feb-25 19:28:04 - [Epoch=1 | Batch=2250] loss=5.6940
15-Feb-25 19:28:05 - [Epoch=1 | Batch=2275] loss=5.7176
15-Feb-25 19:28:05 - [Epoch=1 | Batch=2300] loss=5.6452
15-Feb-25 19:28:05 - [Epoch=1 | Batch=2325] loss=5.6760
