17-Feb-25 15:47:59 - Created path loss file loss_log_20250217154759_.npy.npz
17-Feb-25 15:48:12 - Length of trainig data is  2119719
17-Feb-25 15:48:21 - Vocaab training legth to 2119719
17-Feb-25 15:48:21 - Training Non contextual tokeniser
17-Feb-25 15:48:21 - Training of Vocabulary complete
17-Feb-25 15:48:21 - Sentence: The Cat sat on the Fence
17-Feb-25 15:48:21 - Tokens:  ['The▁', 'C', 'at▁', 'sat▁', 'on▁', 'the▁', 'F', 'en', 'ce▁']
17-Feb-25 15:48:21 - Token IDs: [50, 1972, 53, 1106, 58, 15, 1971, 23, 122]
17-Feb-25 15:48:21 - Token folder already exisitng: ./train_tokens Not overwriting
17-Feb-25 15:48:21 - vocab_size=2000 embedding_dim/d_model=512
17-Feb-25 15:48:23 - Training model...
17-Feb-25 15:48:23 - Total Training Steps: 26400
17-Feb-25 15:48:23 - batch_input.shape=torch.Size([20, 999])
17-Feb-25 15:48:23 - batch_labels.shape=torch.Size([20, 999])
17-Feb-25 15:48:23 - Example input: Ben says. "Can you show me how to 
17-Feb-25 15:48:23 - Example labels: says. "Can you show me how to play 
17-Feb-25 15:48:23 - pos_embedded_tokens.shape=torch.Size([20, 999, 512]), causal_mask.shape=torch.Size([999, 999])batch_size=20, seq_length=1000
17-Feb-25 16:26:06 - [Epoch=1 | Step=6300/26400] loss=2.7396
17-Feb-25 16:26:41 - [Epoch=1 | Step=6400/26400] loss=2.6687
17-Feb-25 16:27:15 - [Epoch=1 | Step=6500/26400] loss=2.3945
17-Feb-25 16:27:51 - [Epoch=1 | Step=6600/26400] loss=2.0790
17-Feb-25 16:28:27 - [Epoch=1 | Step=6700/26400] loss=2.3838
17-Feb-25 16:29:03 - [Epoch=1 | Step=6800/26400] loss=2.1541
17-Feb-25 16:29:39 - [Epoch=1 | Step=6900/26400] loss=2.4237
17-Feb-25 16:30:15 - [Epoch=1 | Step=7000/26400] loss=2.3448
17-Feb-25 16:30:51 - [Epoch=1 | Step=7100/26400] loss=2.4328
17-Feb-25 16:31:27 - [Epoch=1 | Step=7200/26400] loss=2.3338
17-Feb-25 16:32:03 - [Epoch=1 | Step=7300/26400] loss=2.6926
17-Feb-25 16:32:38 - [Epoch=1 | Step=7400/26400] loss=2.1053
17-Feb-25 16:33:14 - [Epoch=1 | Step=7500/26400] loss=2.7570
17-Feb-25 16:33:49 - [Epoch=1 | Step=7600/26400] loss=2.6453
17-Feb-25 16:34:25 - [Epoch=1 | Step=7700/26400] loss=2.6924
17-Feb-25 16:35:00 - [Epoch=1 | Step=7800/26400] loss=2.7878
17-Feb-25 16:35:36 - [Epoch=1 | Step=7900/26400] loss=2.7507
17-Feb-25 16:36:12 - [Epoch=1 | Step=8000/26400] loss=2.6865
17-Feb-25 16:36:49 - [Epoch=1 | Step=8100/26400] loss=2.7219
17-Feb-25 16:37:23 - [Epoch=1 | Step=8200/26400] loss=2.7496
17-Feb-25 16:37:56 - [Epoch=1 | Step=8300/26400] loss=2.7348
17-Feb-25 16:38:29 - [Epoch=1 | Step=8400/26400] loss=2.6735
17-Feb-25 16:39:02 - [Epoch=1 | Step=8500/26400] loss=2.2486
17-Feb-25 16:39:35 - [Epoch=1 | Step=8600/26400] loss=2.5737
17-Feb-25 16:40:09 - [Epoch=1 | Step=8700/26400] loss=2.3632
17-Feb-25 16:40:42 - [Epoch=1 | Step=8800/26400] loss=2.6794
17-Feb-25 16:41:15 - [Epoch=1 | Step=8900/26400] loss=2.1176
17-Feb-25 16:41:49 - [Epoch=1 | Step=9000/26400] loss=2.7411
17-Feb-25 16:42:22 - [Epoch=1 | Step=9100/26400] loss=2.6675
17-Feb-25 16:42:56 - [Epoch=1 | Step=9200/26400] loss=2.3707
17-Feb-25 16:43:29 - [Epoch=1 | Step=9300/26400] loss=2.5182
17-Feb-25 16:44:02 - [Epoch=1 | Step=9400/26400] loss=2.5389
17-Feb-25 16:44:35 - [Epoch=1 | Step=9500/26400] loss=2.4063
17-Feb-25 16:45:09 - [Epoch=1 | Step=9600/26400] loss=2.6604
17-Feb-25 16:45:42 - [Epoch=1 | Step=9700/26400] loss=2.3861
17-Feb-25 16:46:15 - [Epoch=1 | Step=9800/26400] loss=2.1938
17-Feb-25 16:46:50 - [Epoch=1 | Step=9900/26400] loss=2.2220
17-Feb-25 16:47:24 - [Epoch=1 | Step=10000/26400] loss=2.3256
17-Feb-25 16:47:57 - [Epoch=1 | Step=10100/26400] loss=2.6926
17-Feb-25 16:48:31 - [Epoch=1 | Step=10200/26400] loss=2.6413
17-Feb-25 16:49:05 - [Epoch=1 | Step=10300/26400] loss=2.6318
17-Feb-25 16:49:39 - [Epoch=1 | Step=10400/26400] loss=2.2659
17-Feb-25 16:50:13 - [Epoch=1 | Step=10500/26400] loss=2.3127
17-Feb-25 16:50:46 - [Epoch=1 | Step=10600/26400] loss=2.6647
17-Feb-25 16:51:20 - [Epoch=1 | Step=10700/26400] loss=2.2717
17-Feb-25 16:51:54 - [Epoch=1 | Step=10800/26400] loss=2.6097
17-Feb-25 16:52:28 - [Epoch=1 | Step=10900/26400] loss=2.4633
17-Feb-25 16:53:02 - [Epoch=1 | Step=11000/26400] loss=2.7152
17-Feb-25 16:53:37 - [Epoch=1 | Step=11100/26400] loss=2.6892
17-Feb-25 16:54:13 - [Epoch=1 | Step=11200/26400] loss=2.2420
17-Feb-25 16:54:47 - [Epoch=1 | Step=11300/26400] loss=2.1130
17-Feb-25 16:55:23 - [Epoch=1 | Step=11400/26400] loss=2.6683
17-Feb-25 16:55:59 - [Epoch=1 | Step=11500/26400] loss=2.4294
17-Feb-25 16:56:36 - [Epoch=1 | Step=11600/26400] loss=2.2349
17-Feb-25 16:57:11 - [Epoch=1 | Step=11700/26400] loss=2.6699
17-Feb-25 16:57:48 - [Epoch=1 | Step=11800/26400] loss=2.6827
17-Feb-25 16:58:24 - [Epoch=1 | Step=11900/26400] loss=2.1323
17-Feb-25 16:59:00 - [Epoch=1 | Step=12000/26400] loss=2.6877
17-Feb-25 16:59:35 - [Epoch=1 | Step=12100/26400] loss=2.3682
17-Feb-25 17:00:10 - [Epoch=1 | Step=12200/26400] loss=2.3271
17-Feb-25 17:00:44 - [Epoch=1 | Step=12300/26400] loss=2.6105
17-Feb-25 17:01:18 - [Epoch=1 | Step=12400/26400] loss=2.2675
17-Feb-25 17:01:53 - [Epoch=1 | Step=12500/26400] loss=2.3572
17-Feb-25 17:02:29 - [Epoch=1 | Step=12600/26400] loss=2.6937
17-Feb-25 17:03:03 - [Epoch=1 | Step=12700/26400] loss=2.6043
17-Feb-25 17:03:40 - [Epoch=1 | Step=12800/26400] loss=2.6131
17-Feb-25 17:04:16 - [Epoch=1 | Step=12900/26400] loss=2.7343
17-Feb-25 17:04:52 - [Epoch=1 | Step=13000/26400] loss=2.3187
17-Feb-25 17:05:27 - [Epoch=1 | Step=13100/26400] loss=2.1592
17-Feb-25 17:06:03 - [Epoch=1 | Step=13200/26400] loss=2.2852
17-Feb-25 17:06:39 - [Epoch=1 | Step=13300/26400] loss=2.7287
17-Feb-25 17:07:16 - [Epoch=1 | Step=13400/26400] loss=2.1594
17-Feb-25 17:07:52 - [Epoch=1 | Step=13500/26400] loss=2.6666
17-Feb-25 17:08:27 - [Epoch=1 | Step=13600/26400] loss=2.6290
17-Feb-25 17:09:03 - [Epoch=1 | Step=13700/26400] loss=2.6917
17-Feb-25 17:09:36 - [Epoch=1 | Step=13800/26400] loss=2.6575
17-Feb-25 17:10:10 - [Epoch=1 | Step=13900/26400] loss=2.6883
17-Feb-25 17:10:44 - [Epoch=1 | Step=14000/26400] loss=2.5682
17-Feb-25 17:11:18 - [Epoch=1 | Step=14100/26400] loss=2.1129
17-Feb-25 17:11:53 - [Epoch=1 | Step=14200/26400] loss=2.6614
17-Feb-25 17:12:28 - [Epoch=1 | Step=14300/26400] loss=2.6211
17-Feb-25 17:13:01 - [Epoch=1 | Step=14400/26400] loss=2.4497
17-Feb-25 17:13:35 - [Epoch=1 | Step=14500/26400] loss=2.2257
17-Feb-25 17:14:08 - [Epoch=1 | Step=14600/26400] loss=2.6791
17-Feb-25 17:14:43 - [Epoch=1 | Step=14700/26400] loss=2.3142
17-Feb-25 17:15:18 - [Epoch=1 | Step=14800/26400] loss=2.6526
17-Feb-25 17:15:53 - [Epoch=1 | Step=14900/26400] loss=2.7059
17-Feb-25 17:16:27 - [Epoch=1 | Step=15000/26400] loss=2.2671
17-Feb-25 17:17:01 - [Epoch=1 | Step=15100/26400] loss=2.7222
17-Feb-25 17:17:37 - [Epoch=1 | Step=15200/26400] loss=2.2435
17-Feb-25 17:18:12 - [Epoch=1 | Step=15300/26400] loss=2.6418
17-Feb-25 17:18:47 - [Epoch=1 | Step=15400/26400] loss=2.7460
17-Feb-25 17:19:20 - [Epoch=1 | Step=15500/26400] loss=2.3123
17-Feb-25 17:19:54 - [Epoch=1 | Step=15600/26400] loss=2.2725
17-Feb-25 17:20:27 - [Epoch=1 | Step=15700/26400] loss=2.2039
17-Feb-25 17:21:00 - [Epoch=1 | Step=15800/26400] loss=2.4219
17-Feb-25 17:21:34 - [Epoch=1 | Step=15900/26400] loss=2.5457
17-Feb-25 17:22:10 - [Epoch=1 | Step=16000/26400] loss=2.3295
17-Feb-25 17:22:47 - [Epoch=1 | Step=16100/26400] loss=2.5080
17-Feb-25 17:23:24 - [Epoch=1 | Step=16200/26400] loss=2.1412
17-Feb-25 17:24:00 - [Epoch=1 | Step=16300/26400] loss=2.0666
17-Feb-25 17:24:37 - [Epoch=1 | Step=16400/26400] loss=2.1482
17-Feb-25 17:25:12 - [Epoch=1 | Step=16500/26400] loss=2.1637
17-Feb-25 17:25:45 - [Epoch=1 | Step=16600/26400] loss=2.6386
17-Feb-25 17:26:19 - [Epoch=1 | Step=16700/26400] loss=2.3680
17-Feb-25 17:26:52 - [Epoch=1 | Step=16800/26400] loss=2.2635
17-Feb-25 17:27:26 - [Epoch=1 | Step=16900/26400] loss=2.2242
17-Feb-25 17:27:59 - [Epoch=1 | Step=17000/26400] loss=2.5300
17-Feb-25 17:28:33 - [Epoch=1 | Step=17100/26400] loss=2.6579
17-Feb-25 17:29:06 - [Epoch=1 | Step=17200/26400] loss=2.6332
17-Feb-25 17:29:40 - [Epoch=1 | Step=17300/26400] loss=2.2595
17-Feb-25 17:30:13 - [Epoch=1 | Step=17400/26400] loss=2.2137
17-Feb-25 17:30:46 - [Epoch=1 | Step=17500/26400] loss=2.7089
17-Feb-25 17:31:19 - [Epoch=1 | Step=17600/26400] loss=2.1623
17-Feb-25 17:31:53 - [Epoch=1 | Step=17700/26400] loss=2.6304
17-Feb-25 17:32:26 - [Epoch=1 | Step=17800/26400] loss=2.6005
17-Feb-25 17:32:59 - [Epoch=1 | Step=17900/26400] loss=2.6057
17-Feb-25 17:33:32 - [Epoch=1 | Step=18000/26400] loss=2.1437
17-Feb-25 17:34:04 - [Epoch=1 | Step=18100/26400] loss=2.3396
17-Feb-25 17:34:35 - [Epoch=1 | Step=18200/26400] loss=2.3835
17-Feb-25 17:35:07 - [Epoch=1 | Step=18300/26400] loss=2.6214
17-Feb-25 17:35:38 - [Epoch=1 | Step=18400/26400] loss=2.4907
17-Feb-25 17:36:10 - [Epoch=1 | Step=18500/26400] loss=2.6679
17-Feb-25 17:36:41 - [Epoch=1 | Step=18600/26400] loss=2.3085
17-Feb-25 17:37:12 - [Epoch=1 | Step=18700/26400] loss=2.5874
17-Feb-25 17:37:44 - [Epoch=1 | Step=18800/26400] loss=2.3491
17-Feb-25 17:38:15 - [Epoch=1 | Step=18900/26400] loss=2.6738
17-Feb-25 17:38:46 - [Epoch=1 | Step=19000/26400] loss=2.6660
17-Feb-25 17:39:18 - [Epoch=1 | Step=19100/26400] loss=2.6578
17-Feb-25 17:39:49 - [Epoch=1 | Step=19200/26400] loss=2.6253
17-Feb-25 17:40:20 - [Epoch=1 | Step=19300/26400] loss=2.3381
17-Feb-25 17:40:52 - [Epoch=1 | Step=19400/26400] loss=2.6119
17-Feb-25 17:41:23 - [Epoch=1 | Step=19500/26400] loss=2.4933
17-Feb-25 17:41:54 - [Epoch=1 | Step=19600/26400] loss=2.5372
17-Feb-25 17:42:26 - [Epoch=1 | Step=19700/26400] loss=2.3155
17-Feb-25 17:42:57 - [Epoch=1 | Step=19800/26400] loss=2.0715
17-Feb-25 17:43:28 - [Epoch=1 | Step=19900/26400] loss=2.6129
17-Feb-25 17:44:00 - [Epoch=1 | Step=20000/26400] loss=2.1990
17-Feb-25 17:44:31 - [Epoch=1 | Step=20100/26400] loss=2.2718
17-Feb-25 17:45:02 - [Epoch=1 | Step=20200/26400] loss=2.5903
17-Feb-25 17:45:35 - [Epoch=1 | Step=20300/26400] loss=2.6538
17-Feb-25 17:46:09 - [Epoch=1 | Step=20400/26400] loss=2.6828
17-Feb-25 17:46:43 - [Epoch=1 | Step=20500/26400] loss=2.6226
17-Feb-25 17:47:19 - [Epoch=1 | Step=20600/26400] loss=2.1521
17-Feb-25 17:47:55 - [Epoch=1 | Step=20700/26400] loss=2.6428
17-Feb-25 17:48:31 - [Epoch=1 | Step=20800/26400] loss=2.6521
17-Feb-25 17:49:07 - [Epoch=1 | Step=20900/26400] loss=2.2891
17-Feb-25 17:49:43 - [Epoch=1 | Step=21000/26400] loss=2.2814
17-Feb-25 17:50:19 - [Epoch=1 | Step=21100/26400] loss=2.2934
17-Feb-25 17:50:54 - [Epoch=1 | Step=21200/26400] loss=2.3384
17-Feb-25 17:51:28 - [Epoch=1 | Step=21300/26400] loss=2.6037
17-Feb-25 17:52:02 - [Epoch=1 | Step=21400/26400] loss=2.1348
17-Feb-25 17:52:37 - [Epoch=1 | Step=21500/26400] loss=2.4795
17-Feb-25 17:53:12 - [Epoch=1 | Step=21600/26400] loss=2.2906
17-Feb-25 17:53:46 - [Epoch=1 | Step=21700/26400] loss=2.4459
17-Feb-25 17:54:19 - [Epoch=1 | Step=21800/26400] loss=2.3118
17-Feb-25 17:54:54 - [Epoch=1 | Step=21900/26400] loss=2.3073
17-Feb-25 17:55:29 - [Epoch=1 | Step=22000/26400] loss=2.3987
17-Feb-25 17:56:04 - [Epoch=1 | Step=22100/26400] loss=2.3258
17-Feb-25 17:56:39 - [Epoch=1 | Step=22200/26400] loss=2.6559
17-Feb-25 17:57:14 - [Epoch=1 | Step=22300/26400] loss=2.3344
17-Feb-25 17:57:48 - [Epoch=1 | Step=22400/26400] loss=2.2089
17-Feb-25 17:58:22 - [Epoch=1 | Step=22500/26400] loss=2.2197
17-Feb-25 17:58:57 - [Epoch=1 | Step=22600/26400] loss=2.6125
17-Feb-25 17:59:32 - [Epoch=1 | Step=22700/26400] loss=2.0863
17-Feb-25 18:00:07 - [Epoch=1 | Step=22800/26400] loss=2.3277
17-Feb-25 18:00:43 - [Epoch=1 | Step=22900/26400] loss=2.6676
17-Feb-25 18:01:20 - [Epoch=1 | Step=23000/26400] loss=2.5309
17-Feb-25 18:01:56 - [Epoch=1 | Step=23100/26400] loss=2.1068
17-Feb-25 18:02:33 - [Epoch=1 | Step=23200/26400] loss=2.7000
17-Feb-25 18:03:09 - [Epoch=1 | Step=23300/26400] loss=2.6705
17-Feb-25 18:03:46 - [Epoch=1 | Step=23400/26400] loss=2.6812
17-Feb-25 18:04:21 - [Epoch=1 | Step=23500/26400] loss=2.6256
17-Feb-25 18:04:55 - [Epoch=1 | Step=23600/26400] loss=2.5881
17-Feb-25 18:05:29 - [Epoch=1 | Step=23700/26400] loss=2.1514
17-Feb-25 18:06:04 - [Epoch=1 | Step=23800/26400] loss=2.1250
17-Feb-25 18:06:38 - [Epoch=1 | Step=23900/26400] loss=2.0394
17-Feb-25 18:07:12 - [Epoch=1 | Step=24000/26400] loss=2.5965
17-Feb-25 18:07:47 - [Epoch=1 | Step=24100/26400] loss=2.2445
17-Feb-25 18:08:22 - [Epoch=1 | Step=24200/26400] loss=2.1314
17-Feb-25 18:08:57 - [Epoch=1 | Step=24300/26400] loss=2.6109
17-Feb-25 18:09:34 - [Epoch=1 | Step=24400/26400] loss=2.6423
